definition_id,metric,percentile,comparison_operator,duration_min_days,season,absolute_floor,threshold_window,reference_period,status
HI85_2D,derived_tmax_rhmin_hi_proxy,85,>,2,year_round,apparent_heat_hi_ge_80,day_of_year_pm15,walk_forward_1979_to_Yminus1,PRIMARY (this pilot; construct=persistent_apparent_heat_anomaly; 3 confirmed RH-clip artifacts set missing per review R3)
HI85_2D_RETAINALL,derived_tmax_rhmin_hi_proxy,85,>,2,year_round,apparent_heat_hi_ge_80,day_of_year_pm15,walk_forward_1979_to_Yminus1,SENSITIVITY (former primary; retains the 3 confirmed artifacts)
HI85_2D_SUSPMISSING,derived_tmax_rhmin_hi_proxy,85,>,2,year_round,apparent_heat_hi_ge_80,day_of_year_pm15,walk_forward_1979_to_Yminus1,SENSITIVITY (all 50 suspicious county-days set to missing)
HI85_2D_JUNSEP,derived_tmax_rhmin_hi_proxy,85,>,2,jun_sep,apparent_heat_hi_ge_80,day_of_year_pm15,walk_forward_1979_to_Yminus1,SENSITIVITY (warm-season companion; construct=warm_season_heatwave)
HI85_2D_TMAXFLOOR,derived_tmax_rhmin_hi_proxy,85,>,2,year_round,formula_domain_tmax_ge_80,day_of_year_pm15,walk_forward_1979_to_Yminus1,SENSITIVITY (Issue 5 alternative floor)
HI90_2D,derived_tmax_rhmin_hi_proxy,90,>,2,year_round,apparent_heat_hi_ge_80,day_of_year_pm15,walk_forward_1979_to_Yminus1,NOT YET RUN (percentile sensitivity)
HI95_2D,derived_tmax_rhmin_hi_proxy,95,>,2,year_round,apparent_heat_hi_ge_80,day_of_year_pm15,walk_forward_1979_to_Yminus1,NOT YET RUN (percentile sensitivity)
HI85_2D_FIXED7914,derived_tmax_rhmin_hi_proxy,85,>,2,year_round,apparent_heat_hi_ge_80,day_of_year_pm15,fixed_1979_2014,COMPLETED (thresholds 06b + full output family 07/08/09 + comparison 11; review R3 Issue 5/6)
HI85_2D_FIXED8110,derived_tmax_rhmin_hi_proxy,85,>,2,year_round,apparent_heat_hi_ge_80,day_of_year_pm15,fixed_1981_2010,NOT YET RUN (explicitly deferred by user; review Issue 6 prerequisite)
TMAX90_3D,tmax_f,90,>,3,year_round,none,day_of_year_pm15,walk_forward_1979_to_Yminus1,NOT YET RUN (spec Part I example)
HI100_2D,derived_tmax_rhmin_hi_proxy,absolute_100F,>=,2,year_round,absolute_100,absolute_fixed,n/a,NOT YET RUN (spec Part I absolute example)
