figure_id,figure_file,purpose,unit_of_analysis,input_table,aggregation_formula,denominator,result_supported,result_not_supported,draft_caption,limitation
E5,r_fig_E5_percentile_duration_grid.png,show how the percentile and the persistence rule each change what a relative warm-spell definition selects,"county (A), annual county-level observation (B), individual event (C), classified county-date (D)",tables/construct_summary.csv; tables/seasonal_classification_shares.csv,A: median across counties of cumulative classified days. B: median across annual county-level observations of the annual event count. C: median across events of the integer duration. D: share of classified days by season,"none in A-C; D is a share of classified days, not a rate","that the percentile moves the count smoothly while the duration rule bites hardest at the long end, and that a substantial share of classified days falls in the shoulder months",that any cell is the correct definition; that these are heatwaves; that the counts are comparable to an absolute hot-spell rule,"County-specific relative warm spells by percentile and minimum duration, w15 window, Texas, 2015-2025. Panel D reports June-September, May and October, and November-April separately.","all nine cells share one walk-forward baseline, one comparison operator and one state, so the grid isolates only the percentile and duration axes"
E5b,r_fig_E5b_agreement_jaccard.png,quantify how far the nine relative definitions agree on which county-dates they classify,classified county-date,tables/definition_agreement_jaccard_matrix.csv,|A intersect B| / |A union B| over the sets of classified county-dates,the union of the two classified sets,that the definitions overlap substantially but are not interchangeable,"that high agreement establishes validity, accuracy, or that either definition is correct","Jaccard overlap of county-dates classified by each relative warm-spell definition. Agreement, not accuracy; nested thresholds and durations create structural subset relationships.","every pair here shares a baseline, a state and an operator, so agreement is higher than it would be across genuinely different constructs"
E6,r_fig_E6_monthly_classification_rate.png,"show when in the calendar a year-round relative rule fires, on a rate that is comparable between months of unequal length and coverage",daily county-level observation,tables/monthly_classification_rates.csv,"1000 x classified days in the month / valid daily county-level observations in the month, pooled over counties and years",valid daily county-level observations for the RELATIVE family (daily high present and a historical threshold available),"that relative thresholds produce classifications in every month, and that the monthly rate varies by a measured factor across the calendar",that the curves are flat (the prespecified criterion is not met); that the cool season causes the off-season classifications,"Statewide monthly classification rate aggregated across counties and years, for the nine relative warm-spell definitions. Identical y-axis scales.",pooling over counties and years hides between-county variation in the seasonal profile; the county layer is in tables/county_monthly_relative_warm_spells.csv
E7,r_fig_E7_absolute_gate_effect.png,measure what an absolute daily-high gate does to each relative definition,"classified county-date (A, B), county (C), annual county-level observation (D), daily county-level observation (E, F)",tables/absolute_gate_effect.csv; tables/monthly_classification_rates.csv,"retained share = gated classified days / ungated classified days; county retention = per-county ratio; annual change = difference in the median annual county-level count; monthly rate per 1,000 valid records","for the rate panels, valid daily county-level observations for the construct's own family","that the 90 degF gate concentrates classifications into warmer months, at the cost of roughly half the classified days, and that it does so unevenly across counties",that the gate corrects the relative rule; that the gate is an NWS threshold; that the gated construct is the same construct,Effect of an absolute daily-high gate on each relative warm-spell definition. The gate changes the construct to a hybrid relative-and-absolute definition.,"the gated variants are run at the primary threshold window only, so the window axis is not crossed with the gate axis"
E8,r_fig_E8_absolute_vs_relative.png,compare the absolute and relative construct families on the same county-level footing,"annual county-level observation (A, B), daily county-level observation (C, E), classified county-date (D)",tables/county_annual_all_constructs.csv; tables/monthly_classification_rates.csv; tables/absolute_vs_relative.csv; tables/construct_summary.csv,"distributions across annual county-level observations; monthly rate per 1,000 valid records; Jaccard over classified county-dates",family-specific valid daily county-level observations,"that the absolute 80 degF rule classifies a very large share of all days, that the 90 degF rule is strongly seasonal, and that the absolute and relative rules select largely different county-dates",that either construct is correct; that low agreement means one is wrong; that an absolute rule is a heat advisory,"Absolute hot-spell definitions against the county-specific relative warm-spell definition. Annual county-level distributions, monthly rates and day-level agreement.","the absolute family is evaluated on Texas only and on the gap-filled county-day table, as the relative family is"
E9,r_fig_E9_county_geography_all_counties.png,"show how the relative construct and the absolute gate vary geographically, alongside the data quality behind each county",county,tables/county_gate_effect.csv; tables/county_data_quality.csv,cumulative classified days per county; per-county retained share; per-county share of gap-filled daily records,none for the maps of counts; the retained share uses each county's own ungated count as its denominator,"that a county-specific percentile rule still produces a wide spread of county counts, and that an absolute gate removes more days in cooler counties",that a relative rule equalises exposure by construction; that a county with more classified days has greater worker heat exposure,Geography of the TX-P90-D3 relative warm-spell definition and of the absolute daily-high gate. Panel D shows gap-filling by county; fully imputed counties are hatched.,22 of 254 counties have no observed temperature at all and are carried entirely by interpolation from neighbours
E9b,r_fig_E9_county_geography_excluding_fully_imputed.png,"show how the relative construct and the absolute gate vary geographically, alongside the data quality behind each county",county,tables/county_gate_effect.csv; tables/county_data_quality.csv,cumulative classified days per county; per-county retained share; per-county share of gap-filled daily records,none for the maps of counts; the retained share uses each county's own ungated count as its denominator,"that a county-specific percentile rule still produces a wide spread of county counts, and that an absolute gate removes more days in cooler counties",that a relative rule equalises exposure by construction; that a county with more classified days has greater worker heat exposure,Geography of the TX-P90-D3 relative warm-spell definition and of the absolute daily-high gate. Panel D shows gap-filling by county; fully imputed counties are hatched.,22 of 254 counties have no observed temperature at all and are carried entirely by interpolation from neighbours
R5,r_fig_R5_imputation_sensitivity.png,test whether the county-level results depend on gap-filled data,county subset,tables/imputation_sensitivity.csv; tables/imputation_sensitivity_rankings.csv,state summaries recomputed on six prespecified county subsets,family-specific valid daily county-level observations within each subset,"that the summaries shift modestly when gap-filled counties are excluded, and in a consistent direction","that the gap-filled counties are wrong, or that excluding them removes bias; the excluded counties are systematically rural",Observed against imputed counties. The state summary for REL_TX_P90_D3_W15 recomputed on six county subsets.,"the six subsets are nested, so they are not independent sensitivity cases"
R6,r_fig_R6_event_timeline.png,"make individual events visible, rather than only their aggregates",individual event,tables/individual_relative_warm_spell_events.csv,none; events are drawn at their recorded start date and integer duration,none,"that events are discrete, dated objects of integer length, distributed through the whole calendar","any statistical claim; three counties are illustrative, not a sample",Individual event timeline for REL_TX_P90_D3_W15 in three contrasting counties.,three counties chosen by their cumulative classified-day rank; not representative of the state
R7,r_fig_R7_long_event_audit.png,surface and classify the events long enough to need a human look,individual event,tables/long_event_audit.csv,counts and distributions over events longer than 15 days,none,"that long events are common in the absolute family by construction, and that most long relative spells clear their threshold by a wide margin","that any long event is an error; the audit classifies, it does not delete","Long-event audit. Every event longer than 15 days, with the evidence needed to judge it.","the station-composition flag uses the raw GHCN contributing-station count, which is unavailable for fully gap-filled county-dates"
R8,r_fig_R8_annual_distributions.png,replace pooled totals with the annual county-level distributions behind them,annual county-level observation,tables/county_annual_relative_warm_spells.csv,distribution over county-years of the annual count,none,"the spread of annual county-level counts within each definition, which a pooled total conceals",any between-county comparison without the data-quality indicator,Annual county-level distributions of classified days and event counts for the nine relative warm-spell definitions.,includes fully imputed counties; figure R5 gives the subset sensitivity
R9,r_fig_R9_monthly_rates_all_families.png,compare the seasonal profile of all three construct families on one scale with family-specific denominators,daily county-level observation,tables/monthly_classification_rates.csv; qa/eligibility_denominator_comparison.csv,"1000 x classified days / valid daily county-level observations, per month, per construct",family-specific valid daily county-level observations,"that the absolute family is strongly seasonal while the relative family fires all year, on a shared scale and correct denominators",that the equality of the three denominators generalises beyond this state and period,"Monthly classification rates for all three construct families, on identical y-axis scales, each using its own valid-record denominator.",the denominators coincide here only because the gap-filled input has no missing daily highs
R10,r_fig_R10_county_profiles.png,"show what the construct looks like for individual counties, with data quality attached",annual county-level observation within one county,tables/county_profile_examples.csv; tables/county_annual_relative_warm_spells.csv; county_profiles/,none; annual counts are plotted directly,none,"that annual counts vary strongly between years within a county, and that a fully imputed county still produces a plausible-looking series",that these six counties are representative; that the fully imputed county's series describes its actual climate,"County-level example profiles for REL_TX_P90_D3_W15. Six counties spanning the range of classified-day counts, including one with no observed temperature.","chosen by rank on cumulative classified days, not sampled"
