construct_a,construct_b,label_a,label_b,family_a,family_b,classified_county_dates_a,classified_county_dates_b,shared_county_dates,jaccard,structurally_nested,interpretation
REL_TX_P80_D2_W15,REL_TX_P80_D3_W15,TX-P80-D2,TX-P80-D3,relative,relative,213399,171965,171965,0.8058,True,"agreement on the set of classified county-dates; NOT accuracy. Nested percentiles and durations create subset relationships, so a high value between two nested rules is structural."
REL_TX_P80_D2_W15,REL_TX_P80_D5_W15,TX-P80-D2,TX-P80-D5,relative,relative,213399,107118,107118,0.502,True,"agreement on the set of classified county-dates; NOT accuracy. Nested percentiles and durations create subset relationships, so a high value between two nested rules is structural."
REL_TX_P80_D2_W15,REL_TX_P85_D2_W15,TX-P80-D2,TX-P85-D2,relative,relative,213399,161004,161004,0.7545,True,"agreement on the set of classified county-dates; NOT accuracy. Nested percentiles and durations create subset relationships, so a high value between two nested rules is structural."
REL_TX_P80_D2_W15,REL_TX_P85_D3_W15,TX-P80-D2,TX-P85-D3,relative,relative,213399,124812,124812,0.5849,False,"agreement on the set of classified county-dates; NOT accuracy. Nested percentiles and durations create subset relationships, so a high value between two nested rules is structural."
REL_TX_P80_D2_W15,REL_TX_P85_D5_W15,TX-P80-D2,TX-P85-D5,relative,relative,213399,74264,74264,0.348,False,"agreement on the set of classified county-dates; NOT accuracy. Nested percentiles and durations create subset relationships, so a high value between two nested rules is structural."
REL_TX_P80_D2_W15,REL_TX_P90_D2_W15,TX-P80-D2,TX-P90-D2,relative,relative,213399,108359,108359,0.5078,True,"agreement on the set of classified county-dates; NOT accuracy. Nested percentiles and durations create subset relationships, so a high value between two nested rules is structural."
REL_TX_P80_D2_W15,REL_TX_P90_D3_W15,TX-P80-D2,TX-P90-D3,relative,relative,213399,80755,80755,0.3784,False,"agreement on the set of classified county-dates; NOT accuracy. Nested percentiles and durations create subset relationships, so a high value between two nested rules is structural."
REL_TX_P80_D2_W15,REL_TX_P90_D5_W15,TX-P80-D2,TX-P90-D5,relative,relative,213399,45071,45071,0.2112,False,"agreement on the set of classified county-dates; NOT accuracy. Nested percentiles and durations create subset relationships, so a high value between two nested rules is structural."
REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,TX-P80-D2+A80,relative,hybrid,213399,160847,160847,0.7537,False,"agreement on the set of classified county-dates; NOT accuracy. Nested percentiles and durations create subset relationships, so a high value between two nested rules is structural."
REL_TX_P80_D2_W15,HYB_TX_P80_D2_A90_W15,TX-P80-D2,TX-P80-D2+A90,relative,hybrid,213399,103697,103697,0.4859,False,"agreement on the set of classified county-dates; NOT accuracy. Nested percentiles and durations create subset relationships, so a high value between two nested rules is structural."
