step,script,purpose,exists,size_bytes,md5,output,n_rows
1.0,scripts/r00_config.py,"configuration, terminology, construct naming, samples",True,30935,d3a0aeddab4dac185a6c4453c51665ec,,
2.0,scripts/r_palette.py,colour-vision validation of every figure palette,True,9528,c0293dd7733decca06618c4cce59f947,,
3.0,scripts/r_figlib.py,shared figure furniture and the figure manifest,True,4551,60f5a182fee3e101fced9855563d7485,,
4.0,scripts/r01_reproduce_audit.py,Stage 1: reproduce and audit the current package,True,39677,4ff92de040a56e3dbd605ea17a3a8cdb,,
5.0,scripts/r02_temperature_panel.py,Stage 2: county temperature panel and sanity checks,True,34604,3a0ea4bdcb92658d54117bd434bfe6a4,,
6.0,scripts/r03_period_aggregation.py,Stages 3-4: equal-county period aggregation,True,30261,c676b1679a47f29f2dda833c7cec6690,,
7.0,scripts/r04_trends.py,Stage 5: descriptive trend sensitivity,True,11473,5f4a2929cf9f8fe1d004fe4c610ba114,,
8.0,scripts/r05_benchmark.py,Stage 6: external benchmarking,True,21990,38320411b6932def3165c317d134ec1b,,
9.0,scripts/r06_events.py,Stages 7-8: construct families and eligibility denominators,True,44148,9564b70e20848e70820e2b6868bf156d,,
10.0,scripts/r07_agreement_and_gates.py,"agreement, absolute gates, rates, geography",True,28004,2edea73b3bf7d92688ad3f7ea6ac7cdf,,
11.0,scripts/r08_audits.py,Stages 15-16: long-event audit and data-quality sensitivity,True,30200,017a96eabcfe7a9ca57b26cf1f355584,,
12.0,scripts/r09_figures_part1.py,revised figures E2-E4 and R1-R4,True,44077,3256b4a09650fdde50a981d4ff3d8feb,,
13.0,scripts/r10_figures_part2.py,revised figures E5-E9 and R5-R10,True,65551,5b1eac66f8b90cf35a7116bd7aee043d,,
14.0,scripts/r11_qa_tests.py,the consolidated QA suite (blocking),True,21964,af1e1404a0dcaa9f2fc6a491dfc412c3,,
15.0,scripts/r12_report.py,"dictionary, registry, manifests, final report",True,84633,eeb96d08dae20b388cafbcf98c26163f,,
16.0,scripts/run_revision.py,"driver: runs every step in order, stopping on failure",True,3553,a446f238a9dbf15bf907a47d4baded8e,,
,,output,True,9379,0ba55e7a21e4864d702d7c227080ce7e,tables/absolute_gate_effect.csv,18.0
,,output,True,4319,d8565d33dd3e5f48249773c138be3b8b,tables/absolute_vs_relative.csv,18.0
,,output,True,3880,0ce39b9537243ee63058c569344bd447,tables/annual_event_count_distribution.csv,33.0
