run_id,definition_id,def_number,user_item,definition_sentence,metric,metric_code,metric_col,metric_label,percentile,comparison_op,min_duration,window_key,window_type,window_label,window_half,window_collar,window_order,baseline,season,absolute_floor,artifact_handling,analysis_years,status,last_run_utc,runtime_seconds,output_dir
TMAX_P90_2D__w05,TMAX_P90_2D,3,1,"county-relative daily maximum temperature above its own 90th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 5-day window (+/-2 days)",tmax,TMAX,tmax_f,daily maximum temperature,90,>,2,w05,centered,centered 5-day window (+/-2 days),2.0,,1,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:53:28Z,3.4,outputs/TX/grid/TMAX_P90_2D
TMAX_P90_2D__w15,TMAX_P90_2D,3,1,"county-relative daily maximum temperature above its own 90th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 15-day window (+/-7 days)",tmax,TMAX,tmax_f,daily maximum temperature,90,>,2,w15,centered,centered 15-day window (+/-7 days),7.0,,2,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:54:31Z,3.3,outputs/TX/grid/TMAX_P90_2D
TMAX_P90_2D__month,TMAX_P90_2D,3,1,"county-relative daily maximum temperature above its own 90th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: calendar-month bucket",tmax,TMAX,tmax_f,daily maximum temperature,90,>,2,month,month,calendar-month bucket,,,3,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:52:11Z,3.2,outputs/TX/grid/TMAX_P90_2D
TMAX_P90_2D__month_pm7,TMAX_P90_2D,3,1,"county-relative daily maximum temperature above its own 90th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: calendar month +/- 7 days",tmax,TMAX,tmax_f,daily maximum temperature,90,>,2,month_pm7,month_collar,calendar month +/- 7 days,,7.0,4,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:52:29Z,2.8,outputs/TX/grid/TMAX_P90_2D
TMIN_P90_2D__w05,TMIN_P90_2D,4,2,"county-relative daily minimum temperature above its own 90th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 5-day window (+/-2 days)",tmin,TMIN,tmin_f,daily minimum temperature,90,>,2,w05,centered,centered 5-day window (+/-2 days),2.0,,1,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:56:26Z,3.8,outputs/TX/grid/TMIN_P90_2D
TMIN_P90_2D__w15,TMIN_P90_2D,4,2,"county-relative daily minimum temperature above its own 90th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 15-day window (+/-7 days)",tmin,TMIN,tmin_f,daily minimum temperature,90,>,2,w15,centered,centered 15-day window (+/-7 days),7.0,,2,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:57:31Z,3.7,outputs/TX/grid/TMIN_P90_2D
TMIN_P90_2D__month,TMIN_P90_2D,4,2,"county-relative daily minimum temperature above its own 90th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: calendar-month bucket",tmin,TMIN,tmin_f,daily minimum temperature,90,>,2,month,month,calendar-month bucket,,,3,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:54:52Z,3.3,outputs/TX/grid/TMIN_P90_2D
TMIN_P90_2D__month_pm7,TMIN_P90_2D,4,2,"county-relative daily minimum temperature above its own 90th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: calendar month +/- 7 days",tmin,TMIN,tmin_f,daily minimum temperature,90,>,2,month_pm7,month_collar,calendar month +/- 7 days,,7.0,4,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:55:16Z,6.0,outputs/TX/grid/TMIN_P90_2D
TMAX_P85_2D__w05,TMAX_P85_2D,5,3,"county-relative daily maximum temperature above its own 85th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 5-day window (+/-2 days)",tmax,TMAX,tmax_f,daily maximum temperature,85,>,2,w05,centered,centered 5-day window (+/-2 days),2.0,,1,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:53:22Z,4.4,outputs/TX/grid/TMAX_P85_2D
TMAX_P85_2D__w15,TMAX_P85_2D,5,3,"county-relative daily maximum temperature above its own 85th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 15-day window (+/-7 days)",tmax,TMAX,tmax_f,daily maximum temperature,85,>,2,w15,centered,centered 15-day window (+/-7 days),7.0,,2,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:54:25Z,4.2,outputs/TX/grid/TMAX_P85_2D
TMAX_P85_2D__month,TMAX_P85_2D,5,3,"county-relative daily maximum temperature above its own 85th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: calendar-month bucket",tmax,TMAX,tmax_f,daily maximum temperature,85,>,2,month,month,calendar-month bucket,,,3,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:52:04Z,4.2,outputs/TX/grid/TMAX_P85_2D
TMAX_P85_2D__month_pm7,TMAX_P85_2D,5,3,"county-relative daily maximum temperature above its own 85th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: calendar month +/- 7 days",tmax,TMAX,tmax_f,daily maximum temperature,85,>,2,month_pm7,month_collar,calendar month +/- 7 days,,7.0,4,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:52:24Z,4.0,outputs/TX/grid/TMAX_P85_2D
TMIN_P85_2D__w05,TMIN_P85_2D,6,4,"county-relative daily minimum temperature above its own 85th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 5-day window (+/-2 days)",tmin,TMIN,tmin_f,daily minimum temperature,85,>,2,w05,centered,centered 5-day window (+/-2 days),2.0,,1,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:56:19Z,4.9,outputs/TX/grid/TMIN_P85_2D
TMIN_P85_2D__w15,TMIN_P85_2D,6,4,"county-relative daily minimum temperature above its own 85th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 15-day window (+/-7 days)",tmin,TMIN,tmin_f,daily minimum temperature,85,>,2,w15,centered,centered 15-day window (+/-7 days),7.0,,2,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:57:24Z,4.7,outputs/TX/grid/TMIN_P85_2D
TMIN_P85_2D__month,TMIN_P85_2D,6,4,"county-relative daily minimum temperature above its own 85th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: calendar-month bucket",tmin,TMIN,tmin_f,daily minimum temperature,85,>,2,month,month,calendar-month bucket,,,3,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:54:45Z,4.4,outputs/TX/grid/TMIN_P85_2D
TMIN_P85_2D__month_pm7,TMIN_P85_2D,6,4,"county-relative daily minimum temperature above its own 85th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: calendar month +/- 7 days",tmin,TMIN,tmin_f,daily minimum temperature,85,>,2,month_pm7,month_collar,calendar month +/- 7 days,,7.0,4,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:55:06Z,4.5,outputs/TX/grid/TMIN_P85_2D
