package_step,code_ref,quantity,formula,input_data,weighting_unit,sample,used_by,reader_facing_label_now,issue,severity,revision_action
e01,e01_state_temperature_eda.py:107-118,annual county-level observation (mean_f),"mean of daily values within county x year, per variable; gate n_days >= 328",raw observed GHCN county-day (NO IDW gap-filling),daily county-level observation,all counties; per-variable coverage gate,every Part 1 table and figure,'county-year',"sound; the gate is applied per variable so Tmax, Tmin and Tavg can have different qualifying county-years",none,kept; per-variable gate documented
e01,e01_state_temperature_eda.py:121-129,monthly county-level summary (mean_f),mean of daily values within county x year x month; gate n_days >= 25,raw observed GHCN county-day,daily county-level observation,all counties,"figure E4, e01_state_month_temperature.csv",'county-month',sound,none,"kept, relabelled"
e01,e01_state_temperature_eda.py:139-151,'balanced panel' membership,count DISTINCT decades in which the county has >= 1 qualifying annual observation; keep if that count == 5,annual county-level observations passing the gate,county,all counties,"figure E3, figure E4 bottom row, e01_state_decade_temperature.csv, every decadal-change claim in FINDINGS.md",'BALANCED panel',"NOT balanced. One qualifying year in the 1980s and ten in the 2010s satisfies the rule, so the number of annual observations a county contributes still varies by period and by county",BLOCKING,replaced by Sample A (minimum qualifying years in every period) and Sample B (identical count in every period)
e01,e01_state_temperature_eda.py:171-201,state x period temperature level and change,median of mean_f over ALL POOLED annual county-level observations in the period,raw observed GHCN county-day,annual county-level observation (POOLED),'balanced panel' and all reporting counties,"figure E3, FINDINGS.md decadal-change table",'median county Tmax',counties with more qualifying years receive more weight; the state estimate is not a median across counties despite the docstring saying 'MEDIANS across qualifying counties',BLOCKING,"replaced by daily -> annual -> county-period -> state median, one value per county per period, with a bootstrap interval across counties"
e01,e01_state_temperature_eda.py:204-228,"state x month level, and state x month period difference","level: median over pooled monthly county-level summaries; difference: median over pooled monthly summaries within each decade on the annual-gate 'balanced panel', last minus first",raw observed GHCN county-day,monthly county-level summary (POOLED),"'balanced panel' defined on ANNUAL coverage, not monthly","figure E4, e01_state_month_decadal_change.csv, e01_level_vs_change_summary.csv",'change ... balanced panel',"same pooling defect as the annual case, and the county sample is selected on annual coverage while the statistic is monthly",BLOCKING,equal-county monthly period values on Sample A and B
e01,e01_state_temperature_eda.py:157-168,state x year level,median of mean_f across counties within one year,raw observed GHCN county-day,county (one annual value each),counties passing the gate that year,figure E1,'median across qualifying counties',"correct within a year, but the set of counties changes between years, so the series mixes a temperature change with a composition change",moderate,kept; the consistent-county series is added alongside and the trend models are run on both
e01,e01_state_temperature_eda.py:279-324,figure E2 distribution,box and strip of ALL pooled annual county-level observations per state,raw observed GHCN county-day,annual county-level observation (POOLED),all counties passing the gate,figure E2,'Annual mean temperature by state',"title states a level; the object shown mixes between-county variation, year-to-year variation and long-term change. Counties with more reporting years get more visual weight",high,"retitled, note added, and a one-value-per-county alternative version produced"
e01,"e01_state_temperature_eda.py:363-366,410-431",figure E3 / E4 change panels,last period median minus first period median,raw observed GHCN county-day,annual / monthly county-level observation (POOLED),'balanced panel',"figures E3, E4","'warming since the 1980s', 'Decadal change'",a two-period difference described with trend language; no time-trend model is estimated anywhere in the package,high,relabelled as a period difference; Sen slope and OLS slope estimated separately in r04
e01,"e01_state_temperature_eda.py:398,423",figure E4 season shading,top row shades months 6-9; bottom row shades months 5-9,n/a (annotation),n/a,n/a,figure E4,'Jun-Sep' on both rows,the two rows shade different month ranges while both are labelled Jun-Sep,moderate,"single prespecified warm season June-September, shaded identically in both rows"
e01,etx_config.py:129-149,index naming,TX/TN/TG and TXm/TNm/TGm presented as the standard index set,n/a,n/a,n/a,every Part 1 axis label and title,"'TXm', 'TNm', 'TGm'","TGm is not a universally recognised symbol, and 'mean daily minimum temperature' is easily misread as the month's minimum",moderate,plain-language labels: average daily high / low / temperature; Tavg defined explicitly as (Tmax+Tmin)/2
e02,e02_run_extreme_definitions.py:109-149,candidate day,relative: value > county x calendar-key walk-forward percentile; hybrid: relative AND value >= gate; absolute: value > gate,IDW gap-filled county-day table (county_daily_heat.csv),daily county-level observation,"Texas, 2015-2025",every Part 2 and Part 3 result,'percentile of the county's own Tmax distribution',the threshold is county- AND calendar-date-specific; describing it as the county's own distribution omits the calendar conditioning,moderate,description corrected everywhere; mathematics unchanged
e02,e02_run_extreme_definitions.py:226-262,run summary statistics,pooled cross-county totals; per-county median of the 11-year cumulative classified-day count,IDW gap-filled county-day table,pooled county-dates for the totals; county for the median,"all 254 counties INCLUDING fully imputed ones, reindexed to 0","e02_master_run_summary.csv, figures E5, E7, E8",'per-county median heatwave days',a cumulative 11-year total per county reported without saying so; fully imputed counties are included with no data-quality marker,high,annual county-level distributions become the primary quantity; cumulative totals retained and labelled; imputation status attached to every county-level result
e02,e02_run_extreme_definitions.py:250,heatwave_days_per_1000_eligible,1000 * pooled classified days / count of non-missing candidate_day_flag,IDW gap-filled county-day table,daily county-level observation,construct-specific (correct at this step),e02_master_run_summary.csv,"'per 1,000 eligible county-days'","correct here, but e03 later substitutes a single shared denominator",none (see the e03 row),construct-specific denominators recomputed and compared
