state,definition_id,role,rationale,conditions_before_use
TX,MHI_P90_2D,primary candidate,"Middle percentile, shorter duration, day-time exposure pathway. Mean HI carries humidity, which matters for evaporative cooling during outdoor work; Tmax is the dry-bulb comparator and is the more transparent, more widely reproducible metric. At matched percentile and duration these two differ on most classified days (Jaccard 0.383 for the Tmax-vs-mean-HI pair) while counting almost the same number, so they are genuine alternatives rather than a robustness pair.","Requires the floor/season decision to be made FIRST (both put 51-64% of heatwave days outside Jun-Sep), and requires the temperature-composite homogeneity question to be settled before any county-level use."
TX,TMAX_P90_2D,primary candidate,"Middle percentile, shorter duration, day-time exposure pathway. Mean HI carries humidity, which matters for evaporative cooling during outdoor work; Tmax is the dry-bulb comparator and is the more transparent, more widely reproducible metric. At matched percentile and duration these two differ on most classified days (Jaccard 0.383 for the Tmax-vs-mean-HI pair) while counting almost the same number, so they are genuine alternatives rather than a robustness pair.","Requires the floor/season decision to be made FIRST (both put 51-64% of heatwave days outside Jun-Sep), and requires the temperature-composite homogeneity question to be settled before any county-level use."
TX,MHI_P85_2D,primary candidate (continuity),"The two definitions already published by this project. Retaining one of them keeps the new work comparable with what has been reported; the re-run here reproduces the published results exactly, so continuity costs nothing analytically.","The 85th flags roughly 3.2x the days of the 95th - a construct choice about how unusual a day must be, not a robustness setting. Choose deliberately, not by inheritance."
TX,MHI_P95_2D,primary candidate (continuity),"The two definitions already published by this project. Retaining one of them keeps the new work comparable with what has been reported; the re-run here reproduces the published results exactly, so continuity costs nothing analytically.","The 85th flags roughly 3.2x the days of the 95th - a construct choice about how unusual a day must be, not a robustness setting. Choose deliberately, not by inheritance."
TX,TMAX_P85_2D,sensitivity case,Single-axis variants of a primary candidate: the percentile ladder and the persistence rule. The percentile moves counts substantially (median 2.03x) and the duration rule is strictly nested - >=3-day heatwave days are a verified subset of >=2-day days - so both behave as interpretable sensitivity dials rather than new constructs.,"Report alongside the primary, never as an alternative headline. Duration sensitivities for mean HI are only available at the 90th percentile."
TX,TMAX_P95_2D,sensitivity case,Single-axis variants of a primary candidate: the percentile ladder and the persistence rule. The percentile moves counts substantially (median 2.03x) and the duration rule is strictly nested - >=3-day heatwave days are a verified subset of >=2-day days - so both behave as interpretable sensitivity dials rather than new constructs.,"Report alongside the primary, never as an alternative headline. Duration sensitivities for mean HI are only available at the 90th percentile."
TX,TMAX_P85_3D,sensitivity case,Single-axis variants of a primary candidate: the percentile ladder and the persistence rule. The percentile moves counts substantially (median 2.03x) and the duration rule is strictly nested - >=3-day heatwave days are a verified subset of >=2-day days - so both behave as interpretable sensitivity dials rather than new constructs.,"Report alongside the primary, never as an alternative headline. Duration sensitivities for mean HI are only available at the 90th percentile."
TX,TMAX_P95_3D,sensitivity case,Single-axis variants of a primary candidate: the percentile ladder and the persistence rule. The percentile moves counts substantially (median 2.03x) and the duration rule is strictly nested - >=3-day heatwave days are a verified subset of >=2-day days - so both behave as interpretable sensitivity dials rather than new constructs.,"Report alongside the primary, never as an alternative headline. Duration sensitivities for mean HI are only available at the 90th percentile."
TX,MHI_P90_3D,sensitivity case,Single-axis variants of a primary candidate: the percentile ladder and the persistence rule. The percentile moves counts substantially (median 2.03x) and the duration rule is strictly nested - >=3-day heatwave days are a verified subset of >=2-day days - so both behave as interpretable sensitivity dials rather than new constructs.,"Report alongside the primary, never as an alternative headline. Duration sensitivities for mean HI are only available at the 90th percentile."
TX,TMAX_P90_3D,sensitivity case,Single-axis variants of a primary candidate: the percentile ladder and the persistence rule. The percentile moves counts substantially (median 2.03x) and the duration rule is strictly nested - >=3-day heatwave days are a verified subset of >=2-day days - so both behave as interpretable sensitivity dials rather than new constructs.,"Report alongside the primary, never as an alternative headline. Duration sensitivities for mean HI are only available at the 90th percentile."
TX,all definitions at w05 / month / month_pm7,sensitivity case (window),"The threshold window is the least consequential axis: median Jaccard 0.699 against the primary window over 96 matched pairs. Compared DIRECTLY, month and month_pm7 are near-duplicates (median Jaccard 0.886 over 16 pairs) while w05 vs w15 differ more (0.851). Window choice can be reported as a robustness check rather than explored as a design question.",month_pm7 adds almost nothing beyond month and could be dropped from future rounds; w05 is the one window that differs enough to be worth retaining.
TX,TMIN_P85_2D,different construct,"Night-time minimum temperature measures absence of overnight recovery, not day-time work exposure. At matched percentile and duration Tmin and Tmax agree on only 0.250 of classified county-dates while differing in count by ~12%. The separation shows up in county ORDER as well, which nothing else in this package does: rank agreement is 0.96 within a metric family but only 0.38-0.56 (median 0.47) between the Tmax and Tmin families. Together that is the clearest evidence here that the metric selects a different phenomenon rather than a different amount of the same one.","Do not report as a variant of a Tmax or mean-HI result, and do not average with them. If used, state the exposure pathway (no overnight recovery) explicitly."
TX,TMIN_P90_2D,different construct,"Night-time minimum temperature measures absence of overnight recovery, not day-time work exposure. At matched percentile and duration Tmin and Tmax agree on only 0.250 of classified county-dates while differing in count by ~12%. The separation shows up in county ORDER as well, which nothing else in this package does: rank agreement is 0.96 within a metric family but only 0.38-0.56 (median 0.47) between the Tmax and Tmin families. Together that is the clearest evidence here that the metric selects a different phenomenon rather than a different amount of the same one.","Do not report as a variant of a Tmax or mean-HI result, and do not average with them. If used, state the exposure pathway (no overnight recovery) explicitly."
TX,TMIN_P95_2D,different construct,"Night-time minimum temperature measures absence of overnight recovery, not day-time work exposure. At matched percentile and duration Tmin and Tmax agree on only 0.250 of classified county-dates while differing in count by ~12%. The separation shows up in county ORDER as well, which nothing else in this package does: rank agreement is 0.96 within a metric family but only 0.38-0.56 (median 0.47) between the Tmax and Tmin families. Together that is the clearest evidence here that the metric selects a different phenomenon rather than a different amount of the same one.","Do not report as a variant of a Tmax or mean-HI result, and do not average with them. If used, state the exposure pathway (no overnight recovery) explicitly."
TX,TMIN_P85_3D,different construct,"Night-time minimum temperature measures absence of overnight recovery, not day-time work exposure. At matched percentile and duration Tmin and Tmax agree on only 0.250 of classified county-dates while differing in count by ~12%. The separation shows up in county ORDER as well, which nothing else in this package does: rank agreement is 0.96 within a metric family but only 0.38-0.56 (median 0.47) between the Tmax and Tmin families. Together that is the clearest evidence here that the metric selects a different phenomenon rather than a different amount of the same one.","Do not report as a variant of a Tmax or mean-HI result, and do not average with them. If used, state the exposure pathway (no overnight recovery) explicitly."
TX,TMIN_P90_3D,different construct,"Night-time minimum temperature measures absence of overnight recovery, not day-time work exposure. At matched percentile and duration Tmin and Tmax agree on only 0.250 of classified county-dates while differing in count by ~12%. The separation shows up in county ORDER as well, which nothing else in this package does: rank agreement is 0.96 within a metric family but only 0.38-0.56 (median 0.47) between the Tmax and Tmin families. Together that is the clearest evidence here that the metric selects a different phenomenon rather than a different amount of the same one.","Do not report as a variant of a Tmax or mean-HI result, and do not average with them. If used, state the exposure pathway (no overnight recovery) explicitly."
TX,TMIN_P95_3D,different construct,"Night-time minimum temperature measures absence of overnight recovery, not day-time work exposure. At matched percentile and duration Tmin and Tmax agree on only 0.250 of classified county-dates while differing in count by ~12%. The separation shows up in county ORDER as well, which nothing else in this package does: rank agreement is 0.96 within a metric family but only 0.38-0.56 (median 0.47) between the Tmax and Tmin families. Together that is the clearest evidence here that the metric selects a different phenomenon rather than a different amount of the same one.","Do not report as a variant of a Tmax or mean-HI result, and do not average with them. If used, state the exposure pathway (no overnight recovery) explicitly."
TX,MHI_P85_3D,not tested,Never run. These two cells would complete the 3 x 3 x 2 factorial and are the reason the duration axis is estimated from 28 matched pairs rather than 60.,"One line each in config.GRID_DEFINITIONS; the thresholds they need are already cached, so running them is cheap. Never substitute zero or an interpolated value."
TX,MHI_P95_3D,not tested,Never run. These two cells would complete the 3 x 3 x 2 factorial and are the reason the duration axis is estimated from 28 matched pairs rather than 60.,"One line each in config.GRID_DEFINITIONS; the thresholds they need are already cached, so running them is cheap. Never substitute zero or an interpolated value."
TX,all Tmax and Tmin definitions,needs data-quality validation,"Three independent issues. (i) The exact-tie asymmetry: 1.13% (Tmax) and 1.44% (Tmin) of evaluable county-days sit exactly on their threshold because the input is quantised to 0.1 degC, against 0.00% for mean HI - so the strict `>` silently removes days from the temperature definitions only. (ii) 66 of 254 counties exceed the 10% imputation cut and 22 have no native station record at all. (iii) That imputation is NOT metric-neutral: the fully imputed counties carry a median 1.22x the heatwave days of complete-data counties under every Tmin definition (range 1.16-1.30), against 0.97x under Tmax - IDW gap-filling inflates Tmin-based exposure specifically (Figure 13; support_imputation_subgroup_medians.csv).","Quantify the `>` vs `>=` effect before comparing a temperature definition against mean HI on day-level agreement; resolve the anchor-vs-composite temperature question (earlier agreement 0.45-0.73) before any county ranking; and report Tmin-based results on the complete-data subset, or with the imputation gap quantified."
TX,every definition in this package,needs data-quality validation,"All 16 are year-round and carry no absolute floor, so 51-64% of their heatwave days fall outside Jun-Sep and 3133 long events (>= 21 days, longest 69) exist across the runs, 622 of them at least half IDW-imputed.","Make the floor-or-season decision before publication. Until then, describe results as persistent apparent-heat anomalies relative to the local date, never as hazardous heatwaves."
